ax: 0.0112 | ay: 0.0368042 | az: 0.0072937
ax: -0.0257568 | ay: 0.0385742 | az: 0.0305176
ax: -0.0918884 | ay: -0.0205078 | az: 0.0546722
ax: -0.113144 | ay: -0.105453 | az: 0.0583191
ax: -0.043396 | ay: 0.0684204 | az: 0.0065918
ax: -0.0783691 | ay: 0.00401306 | az: 0.039917
ax: -0.118652 | ay: 0.138092 | az: -0.078476
ax: -0.201492 | ay: 0.105164 | az: 0.0930328
ax: -0.259186 | ay: 0.0861511 | az: 0.0736237
ax: -0.37442 | ay: 0.0907593 | az: 0.166031
ax: -0.412354 | ay: 0.133682 | az: 0.140137
ax: -0.662918 | ay: 0.292679 | az: 0.107483
ax: -1.09142 | ay: 0.200897 | az: 0.15036
ax: -1.10817 | ay: 1.29158 | az: 0.311646
ax: -1.1084 | ay: 1.45703 | az: 0.320084
ax: -0.925064 | ay: 0.71286 | az: 0.153091
ax: -0.834656 | ay: 0.893448 | az: -0.240463
ax: -0.357224 | ay: 0.743164 | az: -0.10498
ax: 0.659668 | ay: 0.161514 | az: -0.118668
ax: 0.230942 | ay: -0.141678 | az: -0.266281
ax: 0.207275 | ay: 0.429794 | az: 0.299133
ax: 0.489136 | ay: 0.748398 | az: 0.397034
ax: 0.58606 | ay: 0.778824 | az: 0.35878
ax: 0.589844 | ay: 0.680145 | az: 0.347733
ax: 0.570877 | ay: 0.571075 | az: 0.293839
ax: 0.529037 | ay: 0.442612 | az: 0.26091
ax: 0.48642 | ay: 0.316788 | az: 0.223267
ax: 0.448669 | ay: 0.305862 | az: 0.174622
ax: 0.377823 | ay: 0.298645 | az: 0.13205
ax: 0.148743 | ay: 0.192474 | az: 0.102966
ax: -0.119385 | ay: -0.0406189 | az: -0.0352478
ax: -0.438766 | ay: -0.317398 | az: -0.100647
ax: -0.904205 | ay: -0.548721 | az: -0.329102
ax: -1.06017 | ay: -1.0891 | az: -0.740433
ax: -1.09718 | ay: -1.83031 | az: -0.854874
ax: -1.09203 | ay: -1.70891 | az: -1.10863
ax: -0.603287 | ay: -2.07883 | az: -1.21159
ax: -0.376785 | ay: -2.52757 | az: -0.924698
ax: -0.173965 | ay: -1.24884 | az: -1.00526
ax: -0.415054 | ay: 0.716827 | az: 0.697891
time: 6
[20210722075743.959]
> sum ax: -8.65651 | sum ay: 0.256973 | sum az: -2.32266
>> avg ax: -0.17313 | avg ay: 0.00513947 | avg az: -0.0464532
>>> vx: -0.848338 | vy: 0.0251834 | vz: -0.227621
>>> sx: -0.310937 | sy: 0.365547 | sz: 0.0695287
>>> a: 0.179328
>>> v: 0.878705
>>> s: 0.484913

ax: -0.337036 | ay: 0.480835 | az: 0.700592
ax: -0.656815 | ay: -0.929153 | az: -0.189514
ax: -0.263351 | ay: -0.0740814 | az: -0.370026
ax: -0.230576 | ay: -0.462753 | az: -0.485855
ax: -0.158432 | ay: -0.369064 | az: -0.247726
