steps: 0
ax: 0 | ay: 0 | az: -1
ax: 0.387924 | ay: -0.171112 | az: -0.199265
ax: 0.527847 | ay: 0.589996 | az: 0.0886993
ax: 0.682388 | ay: 0.776505 | az: 0.0449371
ax: 0.712158 | ay: 0.563492 | az: -0.0424347
ax: 0.67688 | ay: 0.477646 | az: -0.110596
ax: 0.654236 | ay: 0.295807 | az: -0.138565
ax: 0.573975 | ay: 0.171326 | az: -0.0702209
ax: 0.495544 | ay: 0.0816956 | az: -0.0575714
ax: 0.409119 | ay: 0.0587006 | az: -0.0802765
ax: 0.215683 | ay: 0.0380096 | az: -0.0929413
ax: 0.0261536 | ay: -0.122208 | az: -0.124207
ax: -0.217758 | ay: -0.322052 | az: -0.0507507
ax: -0.527405 | ay: -0.714249 | az: -0.101425
ax: -0.727676 | ay: -0.920288 | az: -0.106033
time: 5
[20210812051042.489]
> sum ax: -3.96184 | sum ay: 2.76082 | sum az: -2.67877
>> avg ax: -0.0792368 | avg ay: 0.0552164 | avg az: -0.0535754
>>> vx: -0.38826 | vy: 0.27056 | vz: -0.26252
>>> sx: -0.281354 | sy: -0.0398537 | sz: -0.107062
>>> a: 0.110443
>>> v: 0.54117
>>> s: 0.303662

ax: -0.876907 | ay: -1.07986 | az: -0.169724
ax: -0.875168 | ay: -1.22049 | az: -0.161255
ax: -0.939392 | ay: -1.19864 | az: -0.0273743
ax: -0.80809 | ay: -1.31345 | az: 0.234589
ax: -0.641144 | ay: -1.75415 | az: 0.535049
ax: -0.6306 | ay: -2.07703 | az: 0.364517
ax: -0.436646 | ay: -1.67755 | az: 0.214584
ax: -0.21225 | ay: -0.603592 | az: -0.40625
ax: -0.500977 | ay: 1.62602 | az: 0.615051
ax: -0.737076 | ay: -0.439774 | az: 0.447449
ax: -0.49382 | ay: -0.368469 | az: 0.0412903
ax: -0.112869 | ay: -0.16861 | az: 0.197739
ax: -0.0246582 | ay: -0.69339 | az: -0.376297
ax: -0.197296 | ay: -0.44574 | az: -0.0711212
ax: -0.0531769 | ay: 0.0116272 | az: 0.14447
ax: 0.0339355 | ay: 0.019516 | az: 0.00369263
ax: -0.0791626 | ay: 0.0934601 | az: 0.182419
ax: -0.0749969 | ay: 0.067688 | az: 0.049881
ax: 0.0266571 | ay: 0.11351 | az: -0.0170288
ax: 0.00390625 | ay: 0.0461731 | az: -0.162094
ax: 0.0038147 | ay: -0.0167389 | az: -0.0529938
ax: -0.029068 | ay: 0.0592651 | az: 0.115723
ax: -0.0333099 | ay: 0.00473022 | az: 0.0982208
ax: -0.0446625 | ay: 0.013855 | az: 0.0814209
ax: 0.0325623 | ay: 0.0315552 | az: -0.0317688
ax: 0.00456238 | ay: 0.0115967 | az: -0.00323486
ax: -0.0168762 | ay: 0.105743 | az: 0.0645752
ax: -0.0155029 | ay: 0.0707855 | az: 0.045639
ax: -0.0315247 | ay: 0.0141296 | az: 0.0206299
ax: -0.0346375 | ay: 0.0278931 | az: 0.00141907
ax: -0.0275574 | ay: 0.0131683 | az: 0.0604706
ax: -0.100662 | ay: 0.144806 | az: 0.0708008
ax: -0.176071 | ay: 0.171234 | az: 0.0101013
ax: -0.180283 | ay: 0.136429 | az: -0.104782
ax: -0.259064 | ay: 0.148376 | az: 0.0140991
ax: -0.267685 | ay: 0.0852814 | az: 0.0504456
ax: -0.315048 | ay: 0.105316 | az: 0.0326691
ax: -0.410599 | ay: 0.230286 | az: -0.0289612
ax: -0.434509 | ay: 0.212891 | az: -0.152374
ax: -0.650833 | ay: 0.20224 | az: -0.133347
ax: -0.861984 | ay: 0.499146 | az: -0.198181
ax: -1.11281 | ay: 1.04025 | az: -0.24292
ax: -1.03793 | ay: 1.20897 | az: 0.108978
ax: -0.876389 | ay: 0.827301 | az: -0.210938
ax: -0.654526 | ay: 0.694351 | az: -0.514923
ax: -0.0604858 | ay: 0.594101 | az: -0.448715
ax: 0.426865 | ay: 0.179581 | az: -0.141861
ax: 0.485367 | ay: -0.339401 | az: -0.29834
ax: 0.400818 | ay: 0.542084 | az: 0.0167847
ax: 0.597076 | ay: 0.881607 | az: 0.0279999
time: 6
[20210812051043.489]
> sum ax: -13.3107 | sum ay: -3.16191 | sum az: -0.103775
>> avg ax: -0.266214 | avg ay: -0.0632382 | avg az: -0.0020755
>>> vx: -1.30445 | vy: -0.309867 | vz: -0.0101699
>>> sx: -0.823964 | sy: -0.865286 | sz: 0.130612
>>> a: 0.27363
>>> v: 1.34078
>>> s: 1.20195

ax: 0.639771 | ay: 0.697647 | az: 0.0292664
ax: 0.600906 | ay: 0.52626 | az: 0.0128326
ax: 0.574203 | ay: 0.404343 | az: 0.020462
ax: 0.520432 | ay: 0.32338 | az: 0.0310669
ax: 0.499115 | ay: 0.303284 | az: 0.0423431
ax: 0.401123 | ay: 0.271088 | az: 0.0170441
ax: 0.195511 | ay: 0.227737 | az: 0.0489044
ax: -0.0350342 | ay: 0.0300598 | az: 0.0848999
ax: -0.252808 | ay: -0.135834 | az: 0.140381
ax: -0.54599 | ay: -0.402817 | az: 0.0374908
ax: -0.937485 | ay: -1.00024 | az: -0.200699
ax: -1.09088 | ay: -1.30423 | az: -0.176666
ax: -1.06467 | ay: -1.39798 | az: -0.138443
ax: -0.997452 | ay: -1.46153 | az: -0.147263
ax: -0.759659 | ay: -1.90627 | az: 0.0821075
ax: -0.618225 | ay: -2.04477 | az: 0.53569
ax: -0.482025 | ay: -1.85497 | az: 0.444031
ax: -0.444992 | ay: -1.8512 | az: 0.0902863
ax: -0.480499 | ay: 1.30841 | az: 0.467636
ax: -0.671249 | ay: 0.0588379 | az: 0.476273
ax: -0.640793 | ay: -1.06564 | az: 0.0559845
ax: -0.192108 | ay: -0.17244 | az: -0.0564423
ax: -0.0208435 | ay: -0.532532 | az: -0.358017
ax: -0.00668335 | ay: -0.435211 | az: -0.204346
ax: -0.0676117 | ay: -0.2883 | az: -0.00541687
ax: 0.0247192 | ay: -0.0373077 | az: 0.116165
ax: -0.113525 | ay: -0.0773926 | az: 0.158203
ax: -0.102814 | ay: 0.0571747 | az: 0.147018
ax: 0.00187683 | ay: 0.0772705 | az: -0.00343323
ax: 0.0150146 | ay: -0.0343933 | az: -0.285995
ax: 0.0146027 | ay: -0.0841827 | az: -0.190063
ax: -0.0467834 | ay: -0.0643463 | az: 0.0557709
ax: -0.0681915 | ay: -0.0179138 | az: 0.110703
ax: -0.030014 | ay: 0.061554 | az: 0.10791
ax: 0.0174408 | ay: -0.180817 | az: -0.00834656
ax: 0.0042572 | ay: -0.0825806 | az: -0.0606689
ax: 0.0058136 | ay: 0.0218506 | az: 0.0037384
ax: -0.0292816 | ay: 0.0434723 | az: 0.079895
ax: -0.043335 | ay: -0.0384827 | az: 0.0392914
ax: -0.0156708 | ay: -0.0245514 | az: 0.00692749
ax: -0.021225 | ay: 0.0193481 | az: 0.0130615
ax: -0.0940247 | ay: -0.0154266 | az: -0.0287476
ax: -0.176605 | ay: 0.034256 | az: 0.0296936
ax: -0.151382 | ay: 0.130081 | az: 0.0183868
ax: -0.140488 | ay: 0.0998383 | az: -0.0479736
ax: -0.204239 | ay: 0.06633 | az: -0.0558472
ax: -0.260788 | ay: 0.16246 | az: 0.020874
ax: -0.302292 | ay: 0.0587769 | az: -0.0126495
ax: -0.361633 | ay: 0.171127 | az: -0.0785675
ax: -0.500763 | ay: 0.13295 | az: -0.0939636
time: 7
[20210812051044.485]
> sum ax: -8.45728 | sum ay: -11.2238 | sum az: 1.37079
>> avg ax: -0.169146 | avg ay: -0.224476 | avg az: 0.0274158
>>> vx: -0.828813 | vy: -1.09993 | vz: 0.134337
>>> sx: -0.368632 | sy: -0.749782 | sz: 0.105595
>>> a: 0.282403
>>> v: 1.38377
>>> s: 0.842147

ax: -0.740921 | ay: 0.232376 | az: -0.172699
ax: -1.05013 | ay: 0.658203 | az: -0.218048
ax: -0.982101 | ay: 1.08252 | az: -0.136032
ax: -0.991837 | ay: 0.78006 | az: 0.098053
ax: -0.734344 | ay: 0.740662 | az: -0.365997
ax: -0.465668 | ay: 0.708862 | az: -0.451324
ax: 0.355606 | ay: 0.402878 | az: -0.41983
ax: 0.237289 | ay: 0.0320587 | az: -0.0273285
ax: 0.214035 | ay: -0.0352173 | az: -0.0827484
ax: 0.648483 | ay: 0.737946 | az: 0.0351257
ax: 0.643311 | ay: 0.848663 | az: 0.133453
ax: 0.635147 | ay: 0.563568 | az: 0.0349426
ax: 0.586334 | ay: 0.358597 | az: 0.0571289
ax: 0.539917 | ay: 0.214981 | az: 0.0381775
ax: 0.48201 | ay: 0.136917 | az: -0.00662231
ax: 0.439087 | ay: 0.140488 | az: -0.00421143
ax: 0.268387 | ay: 0.0711517 | az: 0.0413971
ax: 0.017746 | ay: 0.00386047 | az: 0.0578613
ax: -0.160751 | ay: -0.156921 | az: 0.116516
ax: -0.443222 | ay: -0.414322 | az: 0.108719
ax: -0.835312 | ay: -0.904587 | az: -0.0834198
ax: -1.10565 | ay: -1.45538 | az: -0.197769
ax: -1.14449 | ay: -1.72824 | az: -0.32576
ax: -0.895752 | ay: -1.77937 | az: -0.488083
ax: -0.764648 | ay: -1.8316 | az: -0.327682
ax: -0.633652 | ay: -1.91121 | az: 0.0623627
ax: -0.649643 | ay: -1.95143 | az: 0.252731
ax: -0.482025 | ay: -2.00687 | az: 0.100143
ax: -0.468201 | ay: -0.836594 | az: 0.0432129
ax: -0.286621 | ay: 1.50481 | az: 0.490738
ax: -0.652954 | ay: -0.684387 | az: 0.426193
ax: -0.323578 | ay: -0.740402 | az: -0.0849915
ax: -0.232681 | ay: -0.459686 | az: -0.0727081
