ax: 0 | ay: 0 | az: -1
ax: 0.146027 | ay: -0.133133 | az: -0.337097
ax: 0.144363 | ay: 0.343369 | az: 0.300156
ax: 0.529434 | ay: 0.488358 | az: 0.371063
ax: 0.565582 | ay: 0.656494 | az: 0.328629
ax: 0.637299 | ay: 0.56456 | az: 0.195419
ax: 0.608826 | ay: 0.453766 | az: 0.129364
ax: 0.545914 | ay: 0.230957 | az: 0.122849
ax: 0.416 | ay: 0.0942078 | az: 0.0975342
ax: 0.423035 | ay: 0.106232 | az: 0.0159149
ax: 0.266617 | ay: 0.144897 | az: -0.0734406
ax: -0.0216064 | ay: 0.0303345 | az: -0.143188
ax: -0.332443 | ay: -0.281372 | az: -0.127563
ax: -0.690933 | ay: -0.651031 | az: -0.435837
ax: -0.95253 | ay: -1.05986 | az: -0.850311
ax: -1.04025 | ay: -1.41864 | az: -0.884399
ax: -0.881653 | ay: -1.52846 | az: -1.02209
ax: -0.714951 | ay: -1.30933 | az: -1.21045
ax: -0.552643 | ay: -1.77054 | az: -1.01176
ax: -0.305542 | ay: -1.9693 | az: -0.740555
ax: -0.715256 | ay: -1.44368 | az: -0.835434
ax: -0.00617981 | ay: -1.37482 | az: -0.630249
ax: -0.46553 | ay: 1.29655 | az: 1.18016
ax: -0.332275 | ay: 0.112 | az: 0.470123
ax: -0.711304 | ay: -1.06491 | az: -0.299225
ax: -0.316544 | ay: -0.204315 | az: -0.135284
ax: -0.0921173 | ay: -0.216873 | az: -0.74762
ax: -0.170044 | ay: -0.497879 | az: -0.317368
ax: -0.0818634 | ay: -0.316422 | az: -0.0231323
ax: -0.144104 | ay: -0.159943 | az: 0.0101318
ax: -0.0580292 | ay: -0.0675964 | az: 0.0139771
ax: 0.00601196 | ay: 0.00985718 | az: -0.113083
ax: 0.000793457 | ay: -0.0708313 | az: -0.112595
ax: 0.046463 | ay: 0.147873 | az: -0.0938873
ax: 0.0374756 | ay: 0.00907898 | az: 0.0136719
ax: -0.0178375 | ay: -0.101547 | az: 0.0879517
ax: -0.0213165 | ay: -0.0932312 | az: 0.0241547
ax: 0.0208282 | ay: 0.0245056 | az: -0.0500031
ax: -0.00482178 | ay: -0.0569763 | az: -0.00233459
ax: -0.0332489 | ay: -0.088913 | az: 0.0117645
ax: -0.0207367 | ay: -0.0445404 | az: 0.0150299
ax: -0.00364685 | ay: -0.000396729 | az: -0.00662231
ax: -0.0285034 | ay: 0.0394135 | az: -0.0107727
ax: -0.0340881 | ay: -0.0585632 | az: -0.0175476
time: 7
[20210722062725.566]
> sum ax: -8.71498 | sum ay: -5.87537 | sum az: -6.19333
>> avg ax: -0.1743 | avg ay: -0.117507 | avg az: -0.123867
>>> vx: -0.854068 | vy: -0.575786 | vz: -0.606946
>>> sx: -0.527058 | sy: 0.018062 | sz: -0.255941
>>> a: 0.24399
>>> v: 1.19555
>>> s: 0.586193

ax: -0.0406952 | ay: -0.0722656 | az: 0.0281067
ax: 0.00775146 | ay: -0.00038147 | az: -0.000427246
ax: -0.0706177 | ay: -0.00563049 | az: -0.0212402
ax: -0.0813904 | ay: 0.0265503 | az: 0.027832
ax: -0.107986 | ay: 0.0575867 | az: 0.0791168
ax: -0.117386 | ay: 0.0581512 | az: 0.0762787
ax: -0.192566 | ay: 0.0700531 | az: 0.0824127
ax: -0.238617 | ay: 0.0601654 | az: 0.102173
ax: -0.296799 | ay: 0.0843201 | az: 0.0756683
ax: -0.4366 | ay: 0.145721 | az: 0.0483704
ax: -0.639114 | ay: 0.158737 | az: 0.0219879
ax: -1.01347 | ay: 0.2146 | az: 0.109116
ax: -0.93364 | ay: 1.40215 | az: 0.361923
ax: -0.839523 | ay: 0.56311 | az: 0.396057
ax: -0.716202 | ay: 0.656113 | az: -0.0120392
ax: -0.699844 | ay: 0.828888 | az: -0.266266
ax: -0.188095 | ay: 0.600235 | az: -0.0620422
ax: 0.586258 | ay: 0.485321 | az: 0.0303345
ax: 0.0930328 | ay: -0.233017 | az: -0.16095
ax: 0.136124 | ay: -0.0304871 | az: 0.183319
ax: 0.51033 | ay: 0.403351 | az: 0.230057
ax: 0.572708 | ay: 0.720047 | az: 0.274796
ax: 0.620224 | ay: 0.643967 | az: 0.230453
ax: 0.60321 | ay: 0.520828 | az: 0.188202
ax: 0.543106 | ay: 0.327469 | az: 0.111359
ax: 0.456192 | ay: 0.191483 | az: 0.059845
ax: 0.406311 | ay: 0.121262 | az: 0.0108032
ax: 0.32547 | ay: 0.131104 | az: -0.0766754
ax: 0.0953369 | ay: 0.028717 | az: -0.10701
ax: -0.129395 | ay: -0.0944519 | az: -0.143265
ax: -0.456192 | ay: -0.359406 | az: -0.226181
ax: -0.814102 | ay: -0.686371 | az: -0.559814
ax: -1.06885 | ay: -1.19876 | az: -0.807632
ax: -1.10382 | ay: -1.58095 | az: -0.927429
ax: -0.782211 | ay: -1.44392 | az: -1.03082
ax: -0.538544 | ay: -1.46045 | az: -1.02113
ax: -0.360504 | ay: -1.88211 | az: -0.791855
ax: -0.400604 | ay: -1.58966 | az: -0.66481
ax: -0.158005 | ay: -1.32748 | az: -0.444214
ax: -0.432892 | ay: 0.587173 | az: 0.902771
ax: -0.255707 | ay: 0.525665 | az: 0.617371
ax: -0.402954 | ay: -0.71666 | az: -0.118637
ax: -0.381744 | ay: -0.459335 | az: -0.289047
ax: -0.0270081 | ay: 0.0521851 | az: -0.479095
ax: -0.037735 | ay: -0.26268 | az: -0.340576
ax: -0.0769501 | ay: -0.595367 | az: -0.0795593
ax: -0.163315 | ay: -0.382904 | az: -0.0150909
ax: -0.112717 | ay: -0.112381 | az: -0.0707397
ax: -0.106888 | ay: -0.151382 | az: -0.0623932
ax: -0.0728912 | ay: -0.0583496 | az: -0.0314941
time: 8
[20210722062726.571]
> sum ax: -9.53952 | sum ay: -5.03946 | sum az: -4.56209
>> avg ax: -0.19079 | avg ay: -0.100789 | avg az: -0.0912418
>>> vx: -0.934873 | vy: -0.493867 | vz: -0.447085
>>> sx: -0.45802 | sy: 0.173993 | sz: -0.0524575
>>> a: 0.234274
>>> v: 1.14794
>>> s: 0.492755

ax: -0.0188141 | ay: 0.00891113 | az: -0.0791321
ax: 0.0329742 | ay: 0.0520325 | az: -0.125366
ax: 0.0327759 | ay: 0.0355225 | az: -0.121796
ax: 0.017334 | ay: 0.00180054 | az: -0.0279388
ax: -0.0192413 | ay: -0.0678101 | az: 0.0115204
ax: -0.00167847 | ay: -0.0659485 | az: 0.0168915
ax: -0.00628662 | ay: -0.0578461 | az: -0.0379639
ax: 0.0258331 | ay: 0.00544739 | az: -0.0717163
ax: 0.0241241 | ay: -0.0285187 | az: -0.0493164
ax: 0.0113525 | ay: -0.0262756 | az: 0.00421143
ax: -0.0127869 | ay: -0.00323486 | az: 0.0281219
ax: 0.0367584 | ay: 0.0471497 | az: -0.0452728
ax: -0.00357056 | ay: -0.0187836 | az: -0.0629883
ax: 0.00617981 | ay: 0.00897217 | az: -0.0343323
ax: -0.004776 | ay: -0.00161743 | az: 0.000244141
ax: -0.0316467 | ay: 0.0553894 | az: 0.0175018
ax: -0.0908203 | ay: 0.0408325 | az: 4.57764e-05
ax: -0.113815 | ay: 0.0412598 | az: -0.01828
ax: -0.172531 | ay: 0.0465546 | az: 0.000335693
ax: -0.258194 | ay: -0.00450134 | az: 0.108109
ax: -0.312408 | ay: 0.114899 | az: 0.035553
ax: -0.448456 | ay: 0.196716 | az: -0.0252228
ax: -0.631531 | ay: 0.19928 | az: -0.0246887
ax: -0.966019 | ay: 0.170364 | az: 0.0398102
ax: -1.00612 | ay: 0.896408 | az: 0.22377
ax: -0.829483 | ay: 0.59053 | az: 0.324051
ax: -0.90509 | ay: 0.072403 | az: 0.322723
